Region,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%)
Andhra Pradesh,7.48,8154093.18,39.38
Assam,6.43,5354772.15,44.87
Bihar,18.92,12366189.14,38.15
Chandigarh,15.99,316831.25,39.34
Chhattisgarh,9.24,4303498.57,42.81
Delhi,16.5,2627512.86,38.93
Goa,9.27,226308.33,39.25
Gujarat,6.66,11402012.79,46.1
Haryana,26.28,3557072.46,42.74
Himachal Pradesh,18.54,1059823.71,44.22
Jammu & Kashmir,16.19,1799931.67,41.03
Jharkhand,20.58,4469240.43,41.67
Karnataka,6.68,10667119.29,41.35
Kerala,10.12,4425899.5,34.87
Madhya Pradesh,7.41,11115484.32,38.82
Maharashtra,7.56,19990195.86,42.3
Meghalaya,4.8,689736.81,57.08
Odisha,5.66,6545746.96,38.93
Puducherry,10.22,212278.08,38.99
Punjab,12.03,4539362.0,41.14
Rajasthan,14.06,10041064.75,39.97
Sikkim,7.25,106880.71,46.07
Tamil Nadu,9.28,12269546.75,40.87
Telangana,7.74,7939662.75,53.0
Tripura,28.35,717002.64,61.82
Uttar Pradesh,12.55,28094832.18,39.43
Uttarakhand,6.58,1390228.11,33.78
West Bengal,8.12,17198538.0,45.42
