Year_num,Month_num,Month_name,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Year_num_Month
2019,8,Aug,9.64,7539815.19,43.65,2019 - Aug
2019,12,Dec,9.5,7377387.83,43.67,2019 - Dec
2019,7,Jul,9.03,7404425.31,43.71,2019 - Jul
2019,6,Jun,9.3,7358641.57,43.75,2019 - Jun
2019,5,May,8.87,7410148.44,43.9,2019 - May
2019,11,Nov,9.87,7273660.64,44.11,2019 - Nov
2019,10,Oct,9.9,7298382.4,44.0,2019 - Oct
2019,9,Sep,9.05,7739463.96,44.3,2019 - Sep
2020,4,Apr,23.64,5283319.9,35.14,2020 - Apr
2020,2,Feb,9.96,7603996.28,43.72,2020 - Feb
2020,1,Jan,9.95,7677344.42,44.05,2020 - Jan
2020,6,Jun,11.9,7387008.66,40.55,2020 - Jun
2020,3,Mar,10.7,7516581.13,43.08,2020 - Mar
2020,5,May,24.88,5879363.02,38.5,2020 - May
